10, 2
100, 5
101, 5
102, 5
103, 5
106, 5
108, 3
109, 3
110, 3
112, 3
115, 3
117, 0
118, 0
119, 0
12, 2
120, 0
121, 0
122, 0
123, 0
124, 0
125, 0
126, 0
127, 0
128, 0
129, 0
13, 2
130, 0
132, 0
133, 0
14, 2
15, 2
17, 2
2, 2
21, 2
22, 2
23, 2
25, 2
26, 2
27, 2
28, 2
3, 2
30, 2
34, 2
37, 2
38, 2
39, 2
40, 2
42, 2
43, 1
45, 1
46, 1
47, 1
49, 1
54, 1
55, 1
56, 1
57, 1
6, 2
60, 1
61, 1
63, 1
64, 1
65, 1
66, 4
67, 4
68, 4
69, 4
70, 4
71, 4
75, 1
76, 1
78, 1
79, 1
8, 2
80, 1
81, 1
82, 1
83, 1
85, 1
87, 1
89, 1
9, 2
90, 1
91, 1
92, 1
93, 1
94, 1
95, 1
96, 1
97, 5
98, 5
